t,Pxerr_Boris,Pxerr_RK4,Pxerr_SPPINN
-19.599999999999994,0.004097980148491498,1.7076131619830903e-09,3.0639345495631076e-05
-19.200000000000003,0.006116158165412555,1.7035974853030211e-09,3.352885973506581e-05
-18.799999999999997,0.009404802775934362,1.7382737471649534e-09,3.1504227656853345e-05
-18.39999999999999,0.01553456583011148,2.2153940903990588e-09,1.829137352271637e-05
-18.0,0.022467844021160262,1.9367472209319558e-10,7.465829218733511e-08
-17.599999999999994,0.01646498364804605,3.0537379291928346e-09,2.2008485123681254e-05
-17.200000000000003,0.01053274454565134,2.880806926341961e-09,3.552964433239936e-05
-16.799999999999997,0.0073012901503299865,2.8307294286378237e-09,3.6904571496521044e-05
-16.39999999999999,0.005334086951055639,2.785131458793444e-09,3.337589344654113e-05
-16.0,0.003982519708424448,2.716499913901771e-09,2.773308075409986e-05
-15.599999999999994,0.0029632728527486663,2.632599471752428e-09,2.1086233104927743e-05
-15.200000000000003,0.002135970498719608,2.5283322102609418e-09,1.3939175354416022e-05
-14.799999999999997,0.0014218281386177978,2.438816260053045e-09,6.549810626310659e-06
-14.399999999999991,0.0007708440050873122,2.334714199747623e-09,9.328314800605142e-07
-14.0,0.00014661795860426707,2.218923711438947e-09,8.408165790729782e-06
-13.599999999999994,0.0004820438961274931,2.12567607960068e-09,1.579214247193761e-05
-13.200000000000003,0.001147261108147113,2.010331456858694e-09,2.2994600918924135e-05
-12.799999999999997,0.0018886672457631981,1.898488921625585e-09,2.989438198497396e-05
-12.399999999999991,0.0027635783597776964,1.8129204804040455e-09,3.6300094711005926e-05
-12.0,0.0038670698278191473,1.7085044490272594e-09,4.187078814155143e-05
-11.599999999999994,0.005379147395711437,1.640999558460976e-09,4.592706093364818e-05
-11.200000000000003,0.007695190092562365,1.6439452021899115e-09,4.692884308421519e-05
-10.799999999999997,0.011849365046729732,1.8564831893996825e-09,4.080512316662066e-05
-10.399999999999991,0.020552365775546977,3.1869820116270375e-09,1.7148290313628856e-05
-10.0,0.02546978049188392,3.1521792398514492e-09,6.608697038057443e-06
-9.599999999999994,0.015587497634356628,4.739118653063201e-09,4.130840433891336e-05
-9.200000000000003,0.010135396031831778,4.787808371986557e-09,5.2142168600610717e-05
-8.799999999999997,0.007292175580632998,4.7629871158250126e-09,5.212771251961179e-05
-8.399999999999991,0.005548220624630229,4.646504070393576e-09,4.809921928972116e-05
-8.0,0.004344633876249837,4.4529753218114365e-09,4.2335297991691334e-05
-7.599999999999994,0.0034414589111522176,4.268847497712613e-09,3.573480049645639e-05
