time,dH_RK4,dH_Boris,dH_SPPINN
11655.0,0.00022893403852862118,0.007432145566708194,6.420161169197265e-05
11662.5,0.0002291257722872401,0.0011444011969439073,2.3276838254578552e-05
11670.0,0.00022938462683439118,0.013084457083069897,0.00021287464803069879
11677.5,0.00022933967414505042,0.010844517245281859,7.358051161679657e-06
11685.0,0.00022953101658900547,0.0005739848961413518,5.7681105169439494e-05
11692.5,0.00022973369122008687,0.008909314923238381,0.0002620602317077024
11700.0,0.00022979376246669438,0.00039028861908083074,7.104901606009609e-05
11707.5,0.00022994676003678486,0.0015117460864357637,4.316969442998182e-05
11715.0,0.0002301279207607533,0.005157709629221244,3.533678765044179e-05
11722.5,0.00023025242992019324,0.017673652279284396,2.117992352002917e-05
11730.0,0.00023040566828017858,0.006307566820678954,3.5140788557491954e-05
11737.5,0.00023056478364990245,0.005215081618650343,6.0355723879649637e-05
11745.0,0.00023059706827199724,0.014449450738041804,6.43264390676177e-05
11752.5,0.00023084465626492688,0.010023429970041565,2.993972475078412e-05
11760.0,0.00023101436203153966,0.002478349918909351,5.009874148377076e-05
11767.5,0.00023118968030504068,0.011682967311745849,1.2495052308355892e-05
11775.0,0.0002312989221698758,0.008443132718116187,0.00012315068829160095
11782.5,0.00023146026170237164,0.0017712399994155206,7.455254025168223e-05
11790.0,0.00023162277555167533,0.008753729938658507,0.0001332712201718406
11797.5,0.00023172514781785595,0.009235488736371889,5.663705507378434e-05
11805.0,0.000231898907103558,0.005646923034912097,5.0690361168683784e-05
11812.5,0.00023207813606394034,0.004622016778411543,7.062142537742277e-05
11820.0,0.00023216473273576164,0.015402425082699287,0.00010903877920153177
11827.5,0.00023230262524514663,0.007750015040204823,2.610725041334515e-05
11835.0,0.00023249551158888116,0.0005473235060159137,6.604039840648437e-05
11842.5,0.00023243686136440673,0.012692480338947779,9.408434896750085e-05
11850.0,0.00023272354969644852,0.011449616690429047,2.0266343534581497e-06
11857.5,0.00023290023516903664,9.126318457053438e-05,8.351260224001343e-05
11865.0,0.00023311968101688904,0.008126155756775602,0.0001569690272896665
