t,dE_Boris,dE_RK4,dE_SPPINN
43.41,0.0007825031665729335,1.1232277298665076e-07,1.6099523417820374e-05
43.610000000000014,0.0006855094386926927,9.813315162883857e-08,1.5225707683290167e-05
43.81,0.0006079285246209592,8.672472863325423e-08,1.4453531078911398e-05
44.00999999999999,0.0005445949008545573,7.73565840409575e-08,1.3770962024183894e-05
44.21000000000001,0.000492002218975035,6.952392007479758e-08,1.3165953420354712e-05
44.41,0.00044769413634004423,6.287013911705451e-08,1.2627570094444213e-05
44.610000000000014,0.00040990253848429087,5.714416659604967e-08,1.2146497146185876e-05
44.81,0.0003773244248460386,5.215793882670347e-08,1.1714794600578923e-05
45.00999999999999,0.00034897967249433167,4.7770433804602565e-08,1.1325867004932069e-05
45.21000000000001,0.00032411764197026526,4.387540574163455e-08,1.0974142570961818e-05
45.41,0.0003021542260778784,4.038528633708635e-08,1.0654979526931874e-05
45.610000000000014,0.0002826284435478326,3.723595734255853e-08,1.0364446448143241e-05
45.81,0.0002651718544436432,3.43736165785528e-08,1.009923383008846e-05
46.00999999999999,0.0002494866276343696,3.175622270170787e-08,9.8565230041686e-06
46.21000000000001,0.00023532953054834654,2.9346736955259392e-08,9.633904702353842e-06
46.41,0.00022250007770821724,2.7116858328886196e-08,9.429323881992127e-06
46.610000000000014,0.00021083162050825567,2.5041534268771453e-08,9.240992705605806e-06
46.81,0.0002001845769705341,2.310200646104864e-08,9.067389216140788e-06
47.00999999999999,0.000190441214018926,2.1280081890465262e-08,8.907161561572588e-06
47.21000000000001,0.0001815015964197728,1.9560504265235503e-08,8.7591631992034e-06
47.41,0.00017328040248058,1.792970424114856e-08,8.622356454123552e-06
47.610000000000014,0.00016570440302540526,1.637724804717639e-08,8.495867697235976e-06
47.81,0.00015871044371199467,1.4893486141095616e-08,8.378892335757948e-06
48.00999999999999,0.00015224382282930232,1.3470144604657878e-08,8.27075501538929e-06
48.21000000000001,0.00014625697435232556,1.2099152102061222e-08,8.170826438214678e-06
48.41,0.0001407083955997064,1.0774226702641632e-08,8.078579105414402e-06
48.610000000000014,0.00013556176299412103,9.48832079437942e-09,7.993518981458158e-06
48.81,0.0001307852066607566,8.236012740209628e-09,7.915230473720852e-06
49.00999999999999,0.0001263507058826051,7.0126951771844125e-09,7.843327091600837e-06
49.21000000000001,0.00012223358565219058,5.813986522574192e-09,7.777481292247603e-06
49.41,0.00011841209486473947,4.634434929388299e-09,7.71738884399842e-06
49.610000000000014,0.00011486705693398552,3.4706697313280573e-09,7.66279376243559e-06
49.81,0.00011158157123088196,2.3190229927411537e-09,7.613459860673236e-06
50.00999999999999,0.00010854076457177125,1.1762533626556096e-09,7.5691905922422845e-06
50.21000000000001,0.00010573157948353994,3.7246955764919756e-11,7.5298019928547874e-06
50.41,0.00010314260219346466,1.1011324974052094e-09,7.495148933178615e-06
50.610000000000014,0.00010076391419920996,2.2415434413201713e-09,7.465094656179372e-06
50.81,9.85869679946192e-05,3.3885683307855315e-09,7.43953784954778e-06
51.00999999999999,9.660449239262164e-05,4.543535332454712e-09,7.418382189771272e-06
51.21000000000001,9.481040632881456e-05,5.7104528311541554e-09,7.401567451004675e-06
51.41,9.319975878024739e-05,6.893619489571146e-09,7.389030806826784e-06
51.610000000000014,9.176868398598533e-05,8.09648236310855e-09,7.3807488992468355e-06
51.81,9.051436993611994e-05,9.322694793658088e-09,7.3766959460606115e-06
52.00999999999999,8.943504453677128e-05,1.0574614137164748e-08,7.376883020668203e-06
52.21000000000001,8.852996906708013e-05,1.1859563450054436e-08,7.381318493553202e-06
52.41,8.779946352066084e-05,1.3179560021184684e-08,7.390045710658369e-06
52.610000000000014,8.724492931365261e-05,1.4539800873147468e-08,7.4031155020167204e-06
52.81,8.686890182800643e-05,1.5944616315054416e-08,7.420601609338225e-06
53.00999999999999,8.667511668563048e-05,1.7398964780761815e-08,7.442598559873768e-06
53.21000000000001,8.666859218512614e-05,1.8915224819521423e-08,7.469208032250744e-06
53.41,8.685576363580544e-05,2.049291717988534e-08,7.500577363911482e-06
53.610000000000014,8.724460355135555e-05,2.214141556502674e-08,7.53685303655728e-06
53.81,8.784481019797041e-05,2.3868604681687586e-08,7.578226424629669e-06
54.00999999999999,8.866802063917413e-05,2.5685932531042443e-08,7.6248925384973315e-06
54.21000000000001,8.972808574348029e-05,2.760134639952872e-08,7.677101858144541e-06
54.41,9.104139184255813e-05,2.9626568599079936e-08,7.735110890481208e-06
54.610000000000014,9.262726689569614e-05,3.177528844281572e-08,7.799233376956308e-06
54.81,9.450847734639696e-05,3.4065032236912724e-08,7.869795510432559e-06
55.00999999999999,9.671185283887061e-05,3.6510090663013434e-08,7.94719281626424e-06
55.21000000000001,9.926904562198835e-05,3.9131179902240784e-08,8.031839899377866e-06
55.41,0.00010221749613572453,4.1953591716801584e-08,8.12422099107757e-06
55.610000000000014,0.0001056016533995087,4.500314915159755e-08,8.22485513443227e-06
55.81,0.00010947451576842442,4.831328294940056e-08,8.33433826368896e-06
56.00999999999999,0.00011389962237908149,5.192112026832259e-08,8.453304890487466e-06
56.21000000000001,0.00011895362459706727,5.587399530558888e-08,8.582474133949646e-06
56.41,0.00012472966916620654,6.022676312599623e-08,8.722598548842282e-06
56.610000000000014,0.0001313418780201864,6.504948275650543e-08,8.874510475675875e-06
56.81,0.0001389313872022428,7.04251982715189e-08,9.039045647433014e-06
57.00999999999999,0.00014767458031804696,7.645838933599848e-08,9.217073295063104e-06
57.21000000000001,0.0001577945188023984,8.328209848079864e-08,9.409357818087886e-06
57.41,0.000169577097560259,9.106520819166949e-08,9.616517878093678e-06
57.610000000000014,0.00018339433453174025,1.0002953079434513e-07,9.83873829933105e-06
57.81,0.00019973873318295874,1.1046551114702192e-07,1.0075471275024484e-05
58.00999999999999,0.0002192752634498966,1.2276955468325937e-07,1.032468775216268e-05
58.21000000000001,0.0002429223311819029,1.3748667232081388e-07,1.0581685562694917e-05
58.41,0.0002719820613448754,1.553924207329212e-07,1.0836679437757666e-05
58.610000000000014,0.0003083579156452145,1.7762145224968117e-07,1.1070153910498784e-05
58.81,0.0003549338425813103,2.059044384620879e-07,1.1243264034561732e-05
59.00999999999999,0.00041626675205979653,2.4297827927131124e-07,1.1276853163432614e-05
59.21000000000001,0.0004999152792631798,2.9341019372823376e-07,1.1002522063771493e-05
59.41,0.0006190952084515419,3.652504353190383e-07,1.0037799884840498e-05
59.610000000000014,0.0007978763911208872,4.7333955668147316e-07,7.438619982666579e-06
59.81,0.0010771070323629993,6.436274318163852e-07,6.833503232262812e-07
60.00999999999999,0.0014515489911458902,8.783768657563537e-07,1.5901789341056733e-05
60.21000000000001,0.000893953473550101,5.598480590445731e-07,2.103762734119082e-05
60.41,0.0013265359736355728,8.681562289170236e-07,1.4632369214243514e-05
60.610000000000014,0.0012464160223281582,8.337273880832096e-07,3.097722588389938e-05
60.81,0.0008978619477095491,6.041190437676582e-07,3.3023421777273317e-05
61.00999999999999,0.0006730070273693559,4.528197429689024e-07,3.082516498089094e-05
61.21000000000001,0.0005302385836799719,3.5570093152351864e-07,2.8088270871476673e-05
61.41,0.0004342004748354989,2.8991135732822043e-07,2.5599661078778697e-05
61.610000000000014,0.0003659544730239894,2.4293290111949073e-07,2.3475461925660525e-05
61.81,0.00031523770682950975,2.0790407404296597e-07,2.1683996310726268e-05
62.00999999999999,0.0002761688335915949,1.808586669999743e-07,2.016860345905844e-05
62.21000000000001,0.0002451835089499426,1.5938033488401929e-07,1.887689877436363e-05
62.41,0.00022001326498751822,1.4192228085050282e-07,1.77659652094377e-05
62.610000000000014,0.00019915302799714934,1.2745536097274779e-07,1.6802073642082208e-05
62.81,0.0001815683388447612,1.152683962945999e-07,1.5958779113067328e-05
63.00999999999999,0.00016652645884336297,1.0485664012245023e-07,1.5215407208687694e-05
63.21000000000001,0.00015349474824984208,9.585256361284526e-08,1.455559268941967e-05
63.41,0.00014207722459986461,8.798191528646437e-08,1.3966317750134615e-05
63.610000000000014,0.00013197365530116074,8.103663503649718e-08,1.3437101082765732e-05
63.81,0.0001229524232807265,7.485517540858367e-08,1.2959427197445286e-05
64.00999999999999,0.00011483206747204026,6.93114898764077e-08,1.2526331527095242e-05
64.21000000000001,0.00010746844608759345,6.430436890676898e-08,1.213203489905085e-05
64.41,0.00010074562445046075,5.975310844233278e-08,1.1771751878157648e-05
64.61000000000001,9.456929418055365e-05,5.5592377035811173e-08,1.1441430715700982e-05
64.81,8.886194201225248e-05,5.176764693366345e-08,1.1137685215756975e-05
65.00999999999999,8.355924823844399e-05,4.823352786145056e-08,1.0857591003040924e-05
65.21000000000001,7.860736635826897e-05,4.495282744250228e-08,1.0598691524362305e-05
65.41,7.396084439959276e-05,4.1894584574513204e-08,1.0358825719605499e-05
65.61000000000001,6.958102139885024e-05,3.902877022618595e-08,1.0136167297985636e-05
65.81,6.543476117893127e-05,3.6335085188057545e-08,9.929088176104533e-06
66.00999999999999,6.149346987624798e-05,3.3793254196842376e-08,9.736206847509085e-06
66.21000000000001,5.773230508002479e-05,3.138374391726197e-08,9.55627121475792e-06
66.41,5.412953518203055e-05,2.9093675771894237e-08,9.388216612468118e-06
66.61000000000001,5.066603231949103e-05,2.6909941680593106e-08,9.231073731745487e-06
66.81,4.7324853522629143e-05,2.481853808865215e-08,9.084001340997112e-06
67.00999999999999,4.4090889772117245e-05,2.28105446610464e-08,8.946241862800572e-06
67.21000000000001,4.095058582008007e-05,2.0876675077713375e-08,8.817125030877926e-06
67.41,3.789170006751472e-05,1.900899735029985e-08,8.69605241032722e-06
67.61000000000001,3.4903106974814194e-05,1.7198255570964688e-08,8.58248009861961e-06
67.81,3.1974622320338405e-05,1.543911175039959e-08,8.475933388441784e-06
68.00999999999999,2.9096863541559122e-05,1.3725217562186451e-08,8.375970313432074e-06
68.21000000000001,2.626112413926778e-05,1.205058424781136e-08,8.282208453052796e-06
68.41,2.3459266465869664e-05,1.0409081522882964e-08,8.194286039455183e-06
68.61000000000001,2.0683625378327826e-05,8.796691773562352e-09,8.111894159016775e-06
68.81,1.792692770291734e-05,7.208855299265487e-09,8.034738636673945e-06
69.00999999999999,1.5182216566392636e-05,5.6419939940209465e-09,7.962566668367e-06
69.21000000000001,1.2442788076192902e-05,4.0898838125361214e-09,7.89513758281934e-06
69.41,9.702126111387737e-06,2.5476145988509517e-09,7.83224175992763e-06
69.61000000000001,6.953843143775711e-06,1.014114940112016e-09,7.773689440488483e-06
69.81,4.191634730507754e-06,5.156994849701306e-10,7.719308315592314e-06
70.00999999999999,1.4092229310734736e-06,2.0452563894312396e-09,7.66894350197608e-06
70.21000000000001,1.3996918611722274e-06,3.5776330321104064e-09,7.622458013716042e-06
70.41,4.241477921012382e-06,5.117220099550811e-09,7.579725763426883e-06
70.61000000000001,7.122623587377118e-06,6.6672877071846395e-09,7.540640582008424e-06
70.81,1.004978602732701e-05,8.231022589303072e-09,7.505101201990945e-06
71.00999999999999,1.302984235774554e-05,9.811908692670286e-09,7.473030602332507e-06
71.21000000000001,1.606994125657099e-05,1.141623781485412e-08,7.444343819819411e-06
71.41,1.9177566365584876e-05,1.3047268672734523e-08,7.418991492755733e-06
71.61000000000001,2.2360595917888683e-05,1.470748213384498e-08,7.396909846845545e-06
71.81,2.562736676377324e-05,1.6402031746719888e-08,7.378072554621102e-06
72.00999999999999,2.898675254656544e-05,1.8134700811854842e-08,7.362431832439898e-06
72.21000000000001,3.2448244702062803e-05,1.9909090156334713e-08,7.34998490357051e-06
72.41,3.602203715913815e-05,2.173587145806653e-08,7.340695881288077e-06
72.61000000000001,3.971914522379612e-05,2.361744749923405e-08,7.334581931302323e-06
72.81,4.3551512815936346e-05,2.5558034411258564e-08,7.33163483102657e-06
73.00999999999999,4.753214469891779e-05,2.756529954953093e-08,7.331882578002766e-06
73.21000000000001,5.167526476036657e-05,2.9645684857882633e-08,7.335338298402223e-06
73.41,5.599648823617178e-05,3.180929120804616e-08,7.342042332914194e-06
73.61000000000001,6.051303423718823e-05,3.4062697076743526e-08,7.352032594734723e-06
73.81,6.524395901429135e-05,3.641516780286443e-08,7.365365501687995e-06
74.00999999999999,7.021043785247339e-05,3.887715044992483e-08,7.3821003740570814e-06
74.21000000000001,7.54360953575848e-05,4.146036296269902e-08,7.402307889768842e-06
74.41,8.094739537405618e-05,4.4178918495766804e-08,7.426068404443773e-06
74.61000000000001,8.677411033899351e-05,4.704544989728645e-08,7.453470656801166e-06
74.81,9.294987309368567e-05,5.007653363799144e-08,7.484615407120277e-06
75.00999999999999,9.951284909247553e-05,5.3291411748802456e-08,7.51960536660311e-06
75.21000000000001,0.00010650654916592564,5.671202865508133e-08,7.558555821024589e-06
75.41,0.00011398082237146174,6.03612730904758e-08,7.601585019702082e-06
75.61000000000001,0.00012199306812820529,6.426757938159083e-08,7.648816541573004e-06
75.81,0.00013060974374651905,6.846211040803386e-08,7.700371863498513e-06
76.00999999999999,0.00013990823541891855,7.298317857014126e-08,7.756368508505933e-06
76.21000000000001,0.00014997921777030606,7.787337710976923e-08,7.816908843889232e-06
76.41,0.00016092963319223424,8.318875256732686e-08,7.88207132304194e-06
76.61000000000001,0.00017288652932677677,8.898712293603437e-08,7.951893263999209e-06
76.81,0.00018600199378613377,9.534300616639809e-08,8.026356260972389e-06
77.00999999999999,0.0002004596297811039,1.0234773467204761e-07,8.105323720562303e-06
77.21000000000001,0.00021648313575859022,1.1010790935001464e-07,8.188538760619424e-06
77.41,0.0002343478090247277,1.1875845612389883e-07,8.275483489986623e-06
77.61000000000001,0.0002543962354896817,1.2846560768799598e-07,8.365341355341732e-06
77.81,0.0002770600108805739,1.394407205004735e-07,8.456731877918734e-06
78.00999999999999,0.000302890383058513,1.5195142297424557e-07,8.547542961913462e-06
78.21000000000001,0.00033260233580635585,1.6634918387723097e-07,8.634381252583168e-06
78.41,0.00036713948958226996,1.8309477725222706e-07,8.712000845408129e-06
78.61000000000001,0.000407772072337706,2.0280891519085938e-07,8.772010804237533e-06
78.81,0.0004562491423764369,2.263523089874635e-07,8.801003016813688e-06
79.00999999999999,0.0005150429882723212,2.5493941370291497e-07,8.77688659852537e-06
79.21000000000001,0.0005877564206081618,2.903437380825109e-07,8.662415727519466e-06
79.41,0.0006798311474398848,3.352511388933379e-07,8.392255765071372e-06
79.61000000000001,0.0007998407544745546,3.939048146943693e-07,7.846467144999186e-06
79.81,0.0009619783416137037,4.733531357803315e-07,6.791367097643106e-06
80.00999999999999,0.0011910869892541092,5.859906554563606e-07,4.7364122218018525e-06
80.21000000000001,0.0015329648716728152,7.54830668688475e-07,5.544495077077215e-07
80.41,0.002070692431664392,1.02226608514294e-06,8.588147412371587e-06
80.61000000000001,0.002862051613260014,1.422045606194175e-06,2.9179597165649046e-05
80.81,0.0024221962528055904,1.2291679751488237e-06,4.283698023118282e-05
81.00999999999999,0.0025334181950369115,1.3125724936616204e-06,2.5571617029197884e-05
81.21000000000001,0.0027075645673360865,1.4339942060479585e-06,4.7928419830928315e-05
81.41,0.0019296257046357006,1.0321912117164883e-06,4.6780173114152864e-05
81.61000000000001,0.0014212253062034356,7.658842443763586e-07,4.154803624594767e-05
81.81,0.0011009244718511503,5.972887158137074e-07,3.667256295375263e-05
82.00999999999999,0.0008868314075252355,4.84405876305024e-07,3.268151992867509e-05
