period,drL_Boris,drL_RK4,drL_SPPINN
394,1.4503892858778864e-15,1.1010843091327603e-05,0.0002985090558705891
395,1.4503892858778864e-15,1.1038790140279894e-05,6.311116762089015e-05
396,2.1755839288168296e-15,1.1066737192858158e-05,0.00036880039796908284
397,2.900778571755773e-15,1.1094684250150187e-05,0.0001983107837863521
398,2.5381812502863012e-15,1.1122631311430786e-05,0.00015278925412897304
399,2.1755839288168296e-15,1.1150578375974762e-05,0.0003699589666957735
400,1.812986607347358e-15,1.1178525443963412e-05,0.00010883281547968677
401,9.06493303673679e-16,1.120647251630323e-05,0.00023499339896862476
402,7.251946429389432e-16,1.1234419591725125e-05,0.00021423874626923635
403,3.625973214694716e-16,1.126236667131689e-05,0.0002234305638324332
404,7.251946429389432e-16,1.1290313754534627e-05,0.00029816210425224137
405,7.251946429389432e-16,1.1318260840834442e-05,0.0008181158555505695
406,3.625973214694716e-16,1.1346207931485424e-05,0.0006159278552311559
407,9.06493303673679e-16,1.137415502594368e-05,0.0012778554773320932
408,5.438959822042074e-16,1.1402102124027908e-05,0.0012506002999733718
409,5.438959822042074e-16,1.1430049226644602e-05,0.0016040571689816328
410,9.06493303673679e-16,1.1457996333068568e-05,0.002081427609924816
411,7.251946429389432e-16,1.1485943443299806e-05,0.0020500056054490426
412,0.0,1.1513890556613121e-05,0.0028244327957673496
413,3.625973214694716e-16,1.1541837674096305e-05,0.002767224086249379
414,7.251946429389432e-16,1.1569784794661568e-05,0.0033459005755342294
415,7.251946429389432e-16,1.15977319192154e-05,0.003704158744931097
416,7.251946429389432e-16,1.1625679049026893e-05,0.0038449189124680084
417,1.0877919644084148e-15,1.1653626181376569e-05,0.0046119039533466305
418,5.438959822042074e-16,1.1681573317352216e-05,0.004535347198722132
419,1.812986607347358e-16,1.1709520456409941e-05,0.005253207747824418
420,3.625973214694716e-16,1.1737467599456237e-05,0.005436431035745859
421,1.0877919644084148e-15,1.1765414747397596e-05,0.005724898396502994
422,3.625973214694716e-16,1.1793361898783631e-05,0.006363613361203125
423,7.251946429389432e-16,1.1821309054520832e-05,0.006279550549597447
424,1.812986607347358e-16,1.1849256213884008e-05,0.007029602081290364
425,0.0,1.1877203376510558e-05,0.007011294700671115
426,3.625973214694716e-16,1.1905150543306979e-05,0.0074025658705397105
427,5.438959822042074e-16,1.193309771391067e-05,0.007811471118791036
428,1.0877919644084148e-15,1.1961044888140337e-05,0.007730927854613606
429,7.251946429389432e-16,1.198899206527078e-05,0.008399768362429956
430,5.438959822042074e-16,1.2016939247296289e-05,0.008185644183642154
431,1.0877919644084148e-15,1.2044886432585171e-05,0.00862167387816155
432,1.9942852680820937e-15,1.2072833621318729e-05,0.00873597240998865
433,1.4503892858778864e-15,1.2100780813859559e-05,0.008668401575695872
434,1.812986607347358e-15,1.2128728010932857e-05,0.009152640076324055
435,1.4503892858778864e-15,1.2156675211450828e-05,0.008777721891928785
436,1.2690906251431506e-15,1.2184622416501266e-05,0.009195109991250457
437,1.4503892858778864e-15,1.2212569623908585e-05,0.008997717038341714
438,1.4503892858778864e-15,1.224051683602967e-05,0.008951123829325659
439,9.06493303673679e-16,1.226846405159543e-05,0.009173751721956227
440,5.438959822042074e-16,1.2296411270787163e-05,0.008695443338556975
441,7.251946429389432e-16,1.2324358494692663e-05,0.009033206972168145
442,9.06493303673679e-16,1.2352305722405433e-05,0.008556955869516943
443,9.06493303673679e-16,1.2380252953562878e-05,0.008537977525107505
444,1.4503892858778864e-15,1.2408200188164997e-05,0.008461888423044479
445,1.631687946612622e-15,1.2436147426936985e-05,0.007951011159098827
446,1.631687946612622e-15,1.2464094668428454e-05,0.008158307903309828
447,5.438959822042074e-16,1.2492041914452388e-05,0.007479303993485871
448,1.2690906251431506e-15,1.2519989164102297e-05,0.00749247632345134
449,2.1755839288168296e-15,1.2547936417740775e-05,0.007128052142487844
450,2.719479911021037e-15,1.2575883675005227e-05,0.006659320989997983
451,2.719479911021037e-15,1.260383093625825e-05,0.006702896752911924
452,2.900778571755773e-15,1.2631778200774649e-05,0.005926992273596855
453,3.263375893225244e-15,1.2659725469823513e-05,0.0059731478389944675
454,3.0820772324905087e-15,1.2687672741954455e-05,0.005377624595636643
455,2.719479911021037e-15,1.2715620017892668e-05,0.005020235922193895
456,2.719479911021037e-15,1.2743567297638154e-05,0.004890653422627537
457,2.5381812502863012e-15,1.277151458173481e-05,0.004136210020829832
458,2.3568825895515654e-15,1.279946187018263e-05,0.0042107715781142035
459,2.900778571755773e-15,1.2827409162981619e-05,0.0034789092355852467
460,3.263375893225244e-15,1.2855356458318791e-05,0.0032874668383428983
461,2.719479911021037e-15,1.2883303757463234e-05,0.0030024819372548033
462,3.0820772324905087e-15,1.2911251059689753e-05,0.002382643447855167
463,3.44467455395998e-15,1.2939198366086141e-05,0.002474981295241831
464,3.263375893225244e-15,1.2967145676108505e-05,0.0017227795690378971
465,2.900778571755773e-15,1.2995092990300735e-05,0.001729021676676041
466,2.5381812502863012e-15,1.3023040308481537e-05,0.0013324335765891797
467,2.1755839288168296e-15,1.3050987629925715e-05,0.0009393501924061904
468,2.1755839288168296e-15,1.3078934955177165e-05,0.0010340725776808403
469,1.631687946612622e-15,1.310688228369199e-05,0.0003790394276112641
470,2.3568825895515654e-15,1.3134829616376685e-05,0.0005855464772986655
471,3.263375893225244e-15,1.3162776953775146e-05,0.000140744003135058
472,3.44467455395998e-15,1.319072429461828e-05,3.3207267723538064e-05
473,3.263375893225244e-15,1.321867163890609e-05,0.00011336741629375218
474,3.0820772324905087e-15,1.3246618987726365e-05,0.0003445161968594349
475,2.900778571755773e-15,1.3274566339447419e-05,3.3145825431736656e-05
476,1.9942852680820937e-15,1.330251369570094e-05,0.0003878443334390732
477,2.3568825895515654e-15,1.3330461054855238e-05,0.0001925224581688261
478,2.1755839288168296e-15,1.3358408418542004e-05,0.0001413128946671668
479,2.5381812502863012e-15,1.338635578512955e-05,0.0003344369580244473
480,2.719479911021037e-15,1.3414303156068261e-05,0.00015643941072760497
481,3.807271875429452e-15,1.344225053027035e-05,0.00017313864693479163
482,3.263375893225244e-15,1.34701979097301e-05,0.00029770583148444835
483,3.263375893225244e-15,1.3498145292271925e-05,0.00031161137273147345
484,3.625973214694716e-15,1.3526092677351933e-05,0.00040981045903957104
485,3.44467455395998e-15,1.3554040066964408e-05,0.0009358826005992178
486,3.625973214694716e-15,1.3581987460384153e-05,0.0007489004680616081
487,3.263375893225244e-15,1.3609934857611172e-05,0.001425851743347914
488,3.0820772324905087e-15,1.3637882258645462e-05,0.0014016791980815204
489,3.263375893225244e-15,1.3665829663305724e-05,0.0017745436703987068
490,3.0820772324905087e-15,1.3693777072135856e-05,0.0022510922886159303
491,3.263375893225244e-15,1.3721724484591962e-05,0.0022333607205199542
492,3.263375893225244e-15,1.3749671901217937e-05,0.003013787174769408
493,3.807271875429452e-15,1.3777619321832483e-05,0.0029575628273081846
494,3.9885705361641875e-15,1.3805566745529105e-05,0.003548758481310724
495,3.44467455395998e-15,1.3833514172670401e-05,0.0038994791649686646
496,2.900778571755773e-15,1.3861461604344165e-05,0.004050293011863894
497,3.263375893225244e-15,1.3889409039825201e-05,0.004813199320817036
498,3.0820772324905087e-15,1.391735647875091e-05,0.004735311175253393
499,3.625973214694716e-15,1.3945303922209088e-05,0.005456972287947329
500,3.625973214694716e-15,1.3973251369111939e-05,0.005627267943686434
501,3.263375893225244e-15,1.4001198819640763e-05,0.005920715636374188
502,3.0820772324905087e-15,1.402914627379556e-05,0.006545842739275713
503,3.44467455395998e-15,1.405709373175763e-05,0.006458231706504471
504,2.5381812502863012e-15,1.4085041193345672e-05,0.007202761567307279
505,2.719479911021037e-15,1.4112988658378389e-05,0.007168257480044024
506,3.0820772324905087e-15,1.4140936128124872e-05,0.007558839216605282
507,3.44467455395998e-15,1.416888360113473e-05,0.007946788163776612
508,3.807271875429452e-15,1.4196831077589262e-05,0.007860938596452833
509,3.625973214694716e-15,1.4224778558213665e-05,0.008515666491713243
510,3.44467455395998e-15,1.4252726043189234e-05,0.00828458711731626
511,3.625973214694716e-15,1.4280673530702985e-05,0.008714494527584413
512,2.719479911021037e-15,1.4308621022567905e-05,0.008803825198611373
513,2.719479911021037e-15,1.433656851896529e-05,0.008729987395709448
