period,dK_RK4,dPx_RK4,dK_Boris,dPx_Boris,dK_SP-PINN (frozen),dPx_SP-PINN (frozen),dK_SP-PINN (time-coord),dPx_SP-PINN (time-coord)
430,3.1789662173764555e-06,1.2654897305619528e-06,0.000497020462701947,0.0017194583835071775,0.00020947846185137564,1.6153432311760696e-06,5.377203049938828e-06,1.1832989876836564e-06
433,3.208854084668644e-06,1.280273664638898e-06,0.0004962693042811495,0.003425784277246491,0.02144047033302421,1.66150466540671e-06,1.110645198831861e-05,5.533981661809406e-07
436,3.2541675391017932e-06,1.6117156900197216e-06,0.00029391449000293335,0.017653478270388323,1.0713311358045985e-06,6.192626034184912e-08,2.064925377243121e-06,4.782793042945599e-06
439,3.238708241148913e-06,1.295063601247648e-06,0.00037109021898906747,0.01277909398906063,0.021431153469808173,1.6766704742376959e-06,1.1080999049006834e-05,1.6874323596205443e-06
442,3.268530164746153e-06,1.3098554343393687e-06,0.0004969651320916313,0.001788272191943996,0.0002079041786968716,1.6645497278311439e-06,5.171023864214419e-06,2.969601340385708e-06
445,3.2984180400319474e-06,1.3246448524739662e-06,0.000496378625157945,0.0033520388918517607,0.021442573209237814,1.6528887059052977e-06,1.544838055522746e-05,6.9399217634824595e-06
448,3.3437314552742237e-06,1.6560844595669977e-06,0.0003053660816694226,0.017152541488762107,1.1682342282437475e-06,5.409947734236198e-08,4.623030978478937e-06,1.3239330217018619e-05
451,3.3282721760841127e-06,1.3394294045010469e-06,0.00036376884687383537,0.01312187464434933,0.02142903995869805,1.6862110547855025e-06,1.2507104151460169e-05,2.3822695638386904e-07
454,3.358094105010423e-06,1.3542173642466793e-06,0.0004969047020395578,0.0018575827305293835,0.00020625485716241343,1.5628489293817438e-06,1.7568163812597959e-06,5.201939426324742e-06
457,3.3879819820725743e-06,1.3690022120371736e-06,0.0004964799784330509,0.003278958457059389,0.021444787787926245,1.7318255107756642e-06,8.105146065418012e-06,6.602107953446179e-06
460,3.4332953543492195e-06,1.700438180041175e-06,0.0003161311077635176,0.016675786239121138,1.272893134340869e-06,2.9450053284918454e-08,5.598037470688766e-06,4.16138810876987e-06
