config,gamma0,dt,omega,larmor_floor
g5_Tc50,5.0,0.6283185307179586,11.0,0.004201202501481023
g5_Tc50,5.0,0.6283185307179586,12.0,0.0020273380278833194
g5_Tc50,5.0,0.6283185307179586,13.0,0.0008126922476340874
g5_Tc50,5.0,0.6283185307179586,14.0,0.0008255515468969962
g5_Tc50,5.0,0.6283185307179586,15.0,0.018566615648873516
g5_Tc50,5.0,0.6283185307179586,16.0,0.00014595582744759858
g5_Tc50,5.0,0.6283185307179586,17.0,0.0013404484311505633
g5_Tc50,5.0,0.6283185307179586,18.0,0.0025142483415934815
g5_Tc50,5.0,0.6283185307179586,19.0,0.004489755720227099
g5_Tc50,5.0,0.6283185307179586,20.0,0.037514910422038646
g5_Tc50,5.0,0.6283185307179586,21.0,0.0033719830477549092
g5_Tc50,5.0,0.6283185307179586,22.0,0.0036036451386907884
g5_Tc50,5.0,0.6283185307179586,23.0,0.0026288513992604656
g5_Tc50,5.0,0.6283185307179586,24.0,0.0011050260899488436
g5_Tc50,5.0,0.6283185307179586,25.0,1.4604914770312432
g5_Tc50,5.0,0.6283185307179586,26.0,0.0035624442637136517
g5_Tc50,5.0,0.6283185307179586,27.0,0.0015499441284558694
g5_Tc50,5.0,0.6283185307179586,28.0,0.0008071938307518195
g5_Tc50,5.0,0.6283185307179586,29.0,0.001475461427068403
g5_Tc50,5.0,0.6283185307179586,30.0,0.05161983612334036
g5_Tc50,5.0,0.6283185307179586,31.0,0.00020221959439978266
g5_Tc50,5.0,0.6283185307179586,32.0,0.0018622247615497046
g5_Tc50,5.0,0.6283185307179586,33.0,0.002905438010861893
g5_Tc50,5.0,0.6283185307179586,34.0,0.004241190247833977
g5_Tc50,5.0,0.6283185307179586,35.0,0.013463144931273987
g5_Tc50,5.0,0.6283185307179586,36.0,0.004044281111088306
g5_Tc50,5.0,0.6283185307179586,37.0,0.003716892087247334
g5_Tc50,5.0,0.6283185307179586,38.0,0.0022548364389549788
g5_Tc50,5.0,0.6283185307179586,39.0,0.0006243704224733467
g5_Tc50,5.0,0.6283185307179586,40.0,1.4170667097527512
g5_Tc50,5.0,0.6283185307179586,41.0,0.0027630715009140977
g5_Tc50,5.0,0.6283185307179586,42.0,0.0011717783985996909
g5_Tc50,5.0,0.6283185307179586,43.0,0.0009198160595508634
g5_Tc50,5.0,0.6283185307179586,44.0,0.002228316871749898
g5_Tc50,5.0,0.6283185307179586,45.0,1.0455909756403847
g5_Tc50,5.0,0.6283185307179586,46.0,0.00031120453284872053
g5_Tc50,5.0,0.6283185307179586,47.0,0.002281717822391784
g5_Tc50,5.0,0.6283185307179586,48.0,0.003147094557480543
g5_Tc50,5.0,0.6283185307179586,49.0,0.003907706273007724
g5_Tc50,5.0,0.6283185307179586,50.0,0.00016584134579975562
g5_Tc50,5.0,0.6283185307179586,51.0,0.00458532118547483
g5_Tc50,5.0,0.6283185307179586,52.0,0.003496138321177736
g5_Tc50,5.0,0.6283185307179586,53.0,0.0018677096270155594
g5_Tc50,5.0,0.6283185307179586,54.0,0.0003034401218070243
g5_Tc50,5.0,0.6283185307179586,55.0,0.37302281454938896
g5_Tc50,5.0,0.6283185307179586,56.0,0.0019234611278660483
g5_Tc50,5.0,0.6283185307179586,57.0,0.0008811194823168472
g5_Tc50,5.0,0.6283185307179586,58.0,0.0011592070085059047
g5_Tc50,5.0,0.6283185307179586,59.0,0.00299590977711607
g5_Tc50,5.0,0.6283185307179586,60.0,1.4644025814402684
g5_Tc200,5.0,0.15707963267948966,1.0,4.628975428702656e-07
g5_Tc200,5.0,0.15707963267948966,2.0,2.978289122549579e-06
g5_Tc200,5.0,0.15707963267948966,3.0,8.144804248098345e-06
g5_Tc200,5.0,0.15707963267948966,4.0,1.525652185020455e-05
g5_Tc200,5.0,0.15707963267948966,5.0,2.4859989839102434e-05
g5_Tc200,5.0,0.15707963267948966,6.0,3.6398203232225746e-05
g5_Tc200,5.0,0.15707963267948966,7.0,4.973961723391244e-05
g5_Tc200,5.0,0.15707963267948966,8.0,6.450697227415644e-05
g5_Tc200,5.0,0.15707963267948966,9.0,8.375061444818679e-05
g5_Tc200,5.0,0.15707963267948966,10.0,1.1492793514154926
g5_Tc200,5.0,0.15707963267948966,11.0,0.00011533057197008444
g5_Tc200,5.0,0.15707963267948966,12.0,0.00013890101026663257
g5_Tc200,5.0,0.15707963267948966,13.0,0.00016032881201622908
g5_Tc200,5.0,0.15707963267948966,14.0,0.00019026905731532817
g5_Tc200,5.0,0.15707963267948966,15.0,0.00022279560409142865
g5_Tc200,5.0,0.15707963267948966,16.0,0.00026282476965231957
g5_Tc200,5.0,0.15707963267948966,17.0,0.0003165868049684288
g5_Tc200,5.0,0.15707963267948966,18.0,0.0003953793771892868
