period,drL_Boris,drL_RK4,drL_SPPINN,dgamma_Boris,dgamma_RK4,dgamma_SPPINN
1001,1.1421815626288356e-14,2.7975397842653917e-05,2.8167308445387832e-05,1.0835776720341527e-14,2.6856366902272556e-05,2.7040631340291554e-05
1011,1.0152725001145205e-14,2.8254891468968012e-05,1.1777395925594836e-05,9.769962616701378e-15,2.712468048180483e-05,1.1306302751634689e-05
1021,9.06493303673679e-15,2.8534385474558907e-05,4.28765974373862e-06,8.704148513061228e-15,2.7392994422470453e-05,4.116153706767989e-06
1031,7.977141072328375e-15,2.8813879860876987e-05,2.9219758365782677e-05,7.460698725481052e-15,2.7661308725512868e-05,2.8050984423444448e-05
1041,7.251946429389432e-15,2.9093374621032906e-05,5.907983947405467e-06,6.927791673660977e-15,2.7929623384359557e-05,5.671665259576741e-06
1051,8.339738393797847e-15,2.93728697633664e-05,5.3022256047655305e-06,7.993605777301127e-15,2.8197938407359402e-05,5.090137120156157e-06
1061,8.883634376002054e-15,2.965236528570189e-05,2.534556991087275e-05,8.526512829121202e-15,2.8466253792025496e-05,2.4331759447981937e-05
1071,9.790127679675733e-15,2.99318611838695e-05,2.328311192973772e-06,9.414691248821327e-15,2.873456953444986e-05,2.235178641285529e-06
1081,1.1784412947757827e-14,3.0211357462401706e-05,4.2752972835799355e-06,1.1191048088221578e-14,2.9002885639073384e-05,4.10428574308952e-06
1091,1.5047788840983072e-14,3.049085411567824e-05,1.7696955767287703e-05,1.4388490399142028e-14,2.927120210038936e-05,1.698908354956785e-05
1101,1.3959996876574656e-14,3.0770351147506375e-05,1.12089197974871e-05,1.3322676295501878e-14,2.9539518922305773e-05,1.0760560593325863e-05
1111,1.1784412947757827e-14,3.1049848560243e-05,2.450262634001467e-06,1.1191048088221578e-14,2.980783610677662e-05,2.3522522438312874e-06
1121,1.0877919644084148e-14,3.132934635062473e-05,8.282570491321645e-06,1.0302869668521452e-14,3.0076153650782088e-05,7.951268988648508e-06
1131,9.790127679675733e-15,3.1608844520827164e-05,1.8597283887082606e-05,9.237055564881303e-15,3.034447155645381e-05,1.7853385891086758e-05
1141,9.427530358206262e-15,3.1888343070668984e-05,1.3458787961370246e-06,8.881784197001252e-15,3.061278982361415e-05,1.2920436789798373e-06
1151,8.15843973306311e-15,3.2167841996161635e-05,6.138517081195076e-07,7.815970093361103e-15,3.088110844835512e-05,5.892976325583277e-07
1161,8.15843973306311e-15,3.2447341300387186e-05,2.253402481469256e-05,7.815970093361103e-15,3.1149427433518893e-05,2.163265407268966e-05
1171,6.88934910791996e-15,3.2726840979900964e-05,2.2015606933616423e-06,6.394884621840902e-15,3.1417746776085666e-05,2.1134983587245413e-06
1181,5.9828558042462816e-15,3.300634103832895e-05,7.074128602320046e-06,5.684341886080802e-15,3.168606647925287e-05,6.79116249742151e-06
1191,4.713765179103131e-15,3.328584147820931e-05,2.180242711895559e-05,4.440892098500626e-15,3.195438654604033e-05,2.0930320907375232e-05
1201,3.807271875429452e-15,3.356534229464699e-05,5.515209638991205e-06,3.552713678800501e-15,3.222270697094132e-05,5.29460183731345e-06
1211,4.351167857633659e-15,3.384484349054277e-05,1.0054957033797582e-05,4.085620730620576e-15,3.249102775715329e-05,9.652756811462381e-06
1221,3.263375893225244e-15,3.4124345064446255e-05,1.630008270814149e-05,3.0198066269804257e-15,3.275934890343279e-05,1.5648074298546533e-05
1231,3.625973214694716e-15,3.440384701980212e-05,1.082150471628207e-05,3.3750779948604757e-15,3.302767041279964e-05,1.0388646776071652e-05
1241,4.532466518368395e-15,3.468334935334699e-05,9.61721571441312e-06,4.263256414560601e-15,3.329599228205637e-05,9.23252531013219e-06
1251,6.345453125715753e-15,3.49628520616362e-05,7.10356421063435e-06,6.0396132539608514e-15,3.3564314508538474e-05,6.819420673487286e-06
1261,7.070647768654696e-15,3.5242355151740386e-05,1.6783664493019686e-05,6.7501559897209515e-15,3.383263709810791e-05,1.611232332159318e-05
1271,6.526751786450488e-15,3.552185861894578e-05,6.813430190578352e-06,6.217248937900877e-15,3.41009600468567e-05,6.540892091599915e-06
1281,6.1641544649810174e-15,3.580136246071422e-05,3.7975488908022856e-06,5.861977570020826e-15,3.436928335229794e-05,3.645647212024983e-06
1291,4.532466518368395e-15,3.608086668647321e-05,2.1574469638855156e-05,4.263256414560601e-15,3.4637607023135784e-05,2.0711499789882737e-05
1301,5.0763625005726024e-15,3.636037128697654e-05,3.2767801886760223e-06,4.7961634663806766e-15,3.490593105084372e-05,3.145708775065259e-06
1311,5.9828558042462816e-15,3.6639876266575366e-05,1.4023630327672821e-05,5.684341886080802e-15,3.517425543950736e-05,1.346268889044211e-05
1321,6.1641544649810174e-15,3.691938162309411e-05,2.343256176191627e-05,5.684341886080802e-15,3.544258018681745e-05,2.2495269833555653e-05
1331,7.070647768654696e-15,3.719888735617017e-05,6.461146882656276e-07,6.7501559897209515e-15,3.571090529295162e-05,6.202700928881199e-07
1341,9.790127679675733e-15,3.7478393471967705e-05,2.143520420328469e-05,9.237055564881303e-15,3.5979230763416584e-05,2.057780485671401e-05
1351,1.0152725001145205e-14,3.7757899963234765e-05,2.1224996545747438e-05,9.592326932761353e-15,3.62475565911069e-05,2.0376005333311296e-05
1361,1.1059218304818884e-14,3.8037406833053427e-05,1.043145410605477e-08,1.0480505352461478e-14,3.6515882779397656e-05,1.001419587254304e-08
1371,1.3053503572900977e-14,3.8316914081423696e-05,2.4688719767450643e-05,1.2434497875801753e-14,3.678420932811122e-05,2.370118267940313e-05
1381,1.5047788840983072e-14,3.859642171269673e-05,1.4843333316036232e-05,1.4388490399142028e-14,3.705253624115556e-05,1.424960421356758e-05
1391,1.4503892858778863e-14,3.8875929718895407e-05,1.548243056623974e-06,1.3855583347321953e-14,3.732086351160291e-05,1.4863132884457286e-06
1401,1.1059218304818884e-14,3.9155438101288795e-05,2.355827994097132e-05,1.0480505352461478e-14,3.758919113980852e-05,2.2615959398919473e-05
1411,1.1059218304818884e-14,3.943494686404677e-05,5.309166516481654e-06,1.0480505352461478e-14,3.785751913021329e-05,5.096800397019763e-06
1421,1.0152725001145205e-14,3.971445600372467e-05,4.474891324462281e-06,9.592326932761353e-15,3.812584747961978e-05,4.2958952869653896e-06
1431,1.287220491216624e-14,3.999396552503625e-05,1.8933293564152774e-05,1.2256862191861729e-14,3.839417619229124e-05,1.817596870399285e-05
1441,1.4503892858778863e-14,4.0273475424899426e-05,5.448811710198321e-06,1.3855583347321953e-14,3.866250526520787e-05,5.230858671723126e-06
1451,1.6135580805391487e-14,4.055298569932564e-05,7.313615431177514e-06,1.5276668818842153e-14,3.893083469481695e-05,7.021069787072065e-06
1461,1.46851915195136e-14,4.083249635520424e-05,1.2498461666488753e-05,1.3855583347321953e-14,3.919916448786864e-05,1.1998526198908621e-05
1471,1.4141295537309392e-14,4.111200738981574e-05,1.5086331068697772e-05,1.3500311979441903e-14,3.9467494641165504e-05,1.448287345606758e-05
1481,1.4866490180248335e-14,4.139151880025936e-05,8.404163510336026e-06,1.4210854715202004e-14,3.9735825152398264e-05,8.067995613814105e-06
1491,1.46851915195136e-14,4.1671030590342374e-05,6.196910882972579e-06,1.3855583347321953e-14,4.000415602511964e-05,5.949035185004448e-06
1501,1.124051696555362e-14,4.195054275970219e-05,2.1463629111451106e-05,1.0658141036401503e-14,4.027248725897436e-05,2.060507510179832e-05
1511,9.971426340410469e-15,4.223005530852011e-05,6.4875279160197284e-06,9.592326932761353e-15,4.0540818853962435e-05,6.22802599146155e-06
