period,dI1_Boris,dI1_RK4,dI1_SPPINN
211,0.013321072167119577,5.6607723438123935e-14,0.00027094153941434844
212,0.013380088829920119,1.0078936124348896e-13,0.013922953587070483
213,0.01343904786733947,5.6607723438123935e-14,0.0017990971658320884
214,0.013497949025421573,1.0078936124348896e-13,0.008375411239854573
215,0.013556792050563829,1.0078936124348896e-13,0.00937958588166021
216,0.013615576689340363,1.8915263685421902e-13,0.0011907230114027321
217,0.013674302688435754,1.0078936124348896e-13,0.01425596604886241
218,0.01373296979499849,1.8915263685421902e-13,0.0002664923774184224
219,0.013791577756397966,1.0078936124348896e-13,0.011165393028868703
220,0.013850126320202393,1.4497099904885398e-13,0.006671266023307976
221,0.013908615234245074,1.0078936124348896e-13,0.0035419133748805995
222,0.013967044246536038,1.0078936124348896e-13,0.013477889852143437
223,0.014025413105527131,1.4497099904885398e-13,0.00023522218053206073
224,0.014083721559935286,1.0078936124348896e-13,0.013317676843353785
225,0.014141969358344893,3.175555217260611e-14,0.0040133035034339406
226,0.014200156250246069,5.6607723438123935e-14,0.006422598185320098
227,0.014258281984863834,1.2426085632758913e-14,0.011707735122018208
228,0.014316346311798758,5.6607723438123935e-14,0.00037062781715171907
229,0.014374348981159496,5.6607723438123935e-14,0.01450240699070275
230,0.014432289742988432,1.2426085632758913e-14,0.0018124814120608682
231,0.014490168347703497,5.6607723438123935e-14,0.00939162384459425
232,0.014547984546186523,5.6607723438123935e-14,0.009216493370767171
233,0.014605738089385619,1.2426085632758913e-14,0.0019911969584085797
234,0.014663428728536074,5.6607723438123935e-14,0.014537916268106355
235,0.01472105621527081,1.2426085632758913e-14,0.0004056028304417896
236,0.014778620301333204,1.2426085632758913e-14,0.011994233940724715
237,0.014836120738731725,1.2426085632758913e-14,0.006385600147013434
238,0.014893557279894562,5.6607723438123935e-14,0.00437833089025392
239,0.014950929677448727,1.2426085632758913e-14,0.013418661197251375
240,0.015008237684330503,1.2426085632758913e-14,7.965775340773189e-06
241,0.015065481053697077,5.6607723438123935e-14,0.013831730281706324
242,0.015122659538992821,3.175555217260611e-14,0.0036484911911478946
243,0.015179772894059739,5.6607723438123935e-14,0.007166542623641229
244,0.01523682087262938,5.6607723438123935e-14,0.011316100027275702
245,0.015293803229383203,1.2426085632758913e-14,0.0006804217066376894
246,0.015350719718671302,1.2426085632758913e-14,0.014622614253115042
247,0.015407570095373949,1.0078936124348896e-13,0.0014242317108827528
248,0.015464354114835325,1.2426085632758913e-14,0.009928945271221729
249,0.015521071532399611,1.2426085632758913e-14,0.008552365278882925
250,0.01557772210378653,7.593718997797113e-14,0.002320063786125339
251,0.015634305584980898,1.2426085632758913e-14,0.014245792305482214
252,0.01569082173225471,1.2426085632758913e-14,5.337511349936944e-05
253,0.015747270302321776,1.2426085632758913e-14,0.012242596659747548
254,0.015803651052028456,3.175555217260611e-14,0.005550824392406169
255,0.015859963738530374,5.6607723438123935e-14,0.004675973000886334
256,0.015916208119270338,3.175555217260611e-14,0.012759150438468717
257,0.01597238395215507,5.6607723438123935e-14,0.00025415226910095837
258,0.016028490995047093,5.6607723438123935e-14,0.013753271752004003
259,0.01608452900627286,1.2426085632758913e-14,0.002771178805084435
260,0.016140497744799438,1.2426085632758913e-14,0.00738760639870322
261,0.016196396969350903,3.175555217260611e-14,0.010390618156672797
262,0.01625222643918152,5.6607723438123935e-14,0.0005488230539352887
263,0.016307985914031528,1.2426085632758913e-14,0.01422974050397748
264,0.016363675153508648,1.2426085632758913e-14,0.0006390721716817675
265,0.016419293917839126,5.6607723438123935e-14,0.010039950904250515
266,0.016474841967514305,1.4497099904885398e-13,0.007503134856510707
267,0.016530319063334794,1.2426085632758913e-14,0.002339500705059227
268,0.016585724966322123,1.2426085632758913e-14,0.013599202179715995
269,0.01664105943791753,5.6607723438123935e-14,0.0005190388930936559
270,0.0166963222397169,1.2426085632758913e-14,0.012227018575663174
271,0.016751513133890478,1.2426085632758913e-14,0.0045389709464721045
272,0.016806631882564326,3.175555217260611e-14,0.004843890774095338
273,0.0168616782483505,5.6607723438123935e-14,0.011958409593944326
274,0.01691665199419243,1.2426085632758913e-14,0.0005258226164292594
275,0.01697155288349744,5.6607723438123935e-14,0.013613990565977854
276,0.017026380679628677,1.2426085632758913e-14,0.0019519869214724645
277,0.017081135146479475,5.6607723438123935e-14,0.007678718688991989
278,0.017135816048252425,1.4497099904885398e-13,0.00955877849479406
279,0.017190423149415223,1.0078936124348896e-13,0.0006198031167276469
280,0.017244956214877368,1.2426085632758913e-14,0.013988503839328101
281,0.017299415009769278,1.2426085632758913e-14,0.0001381918829620146
282,0.01735379929939809,1.0078936124348896e-13,0.010410040508699791
283,0.01740810884973367,1.0078936124348896e-13,0.006767808121663933
284,0.017462343426790063,1.2426085632758913e-14,0.0027425062809992053
285,0.017516502797023135,5.6607723438123935e-14,0.013293203023664331
286,0.017570586727198016,1.0078936124348896e-13,0.0006248189739707038
287,0.017624594984344932,3.175555217260611e-14,0.012619628280797452
288,0.01767852733580338,1.4497099904885398e-13,0.004012775498312126
289,0.017732383549266303,1.4497099904885398e-13,0.005517357091025788
290,0.017786163393001014,1.4497099904885398e-13,0.011634535771023795
291,0.017839866635142282,5.6607723438123935e-14,0.00022031804284149782
292,0.01789349304453177,1.4497099904885398e-13,0.013969004628172892
293,0.017947042390364605,1.4497099904885398e-13,0.001715342980398962
294,0.01800051444174755,1.0078936124348896e-13,0.008519518291673678
295,0.018053908968361725,1.4497099904885398e-13,0.009266431891088696
296,0.01810722574055098,5.6607723438123935e-14,0.0012896992577719189
297,0.018160464528349886,1.0078936124348896e-13,0.014251333755637354
298,0.018213625102809196,5.6607723438123935e-14,0.0002270633686419205
299,0.018266707234758758,1.0078936124348896e-13,0.01128922599230794
300,0.018319710695558596,1.4497099904885398e-13,0.006551389640362286
301,0.018372635256966363,1.4497099904885398e-13,0.0036739965342918565
302,0.018425480691137364,1.0078936124348896e-13,0.013423184279564843
303,0.01847824677040361,1.2426085632758913e-14,0.00022438507902009728
304,0.018530933267494755,1.0078936124348896e-13,0.013402164612041429
305,0.018583539955670643,1.0078936124348896e-13,0.003904964117683721
306,0.018636066608102738,5.6607723438123935e-14,0.006567468216602255
307,0.018688512998801966,1.2426085632758913e-14,0.011611239108291559
308,0.018740878901690888,3.175555217260611e-14,0.000429976131824347
309,0.01879316409153151,5.6607723438123935e-14,0.014534500956945924
310,0.018845368342644025,1.2426085632758913e-14,0.0017321707410041204
311,0.018897491430762445,1.0078936124348896e-13,0.00952699668609265
312,0.018949533130958048,5.6607723438123935e-14,0.009092893841674004
313,0.01900149321945084,5.6607723438123935e-14,0.0020898750960690105
314,0.019053371472195737,5.6607723438123935e-14,0.014512598700943595
315,0.01910516766594292,1.0078936124348896e-13,0.0003655226389767225
316,0.019156881577221667,1.4497099904885398e-13,0.012099275439371653
317,0.019208512983886705,5.6607723438123935e-14,0.006253736737392842
318,0.01926006166335094,5.6607723438123935e-14,0.004501136902242892
319,0.019311527393469096,1.2426085632758913e-14,0.01333971994237638
320,0.01936290995262608,1.0078936124348896e-13,1.4161330534729628e-05
321,0.019414209119692792,5.6607723438123935e-14,0.013890252402137801
322,0.019465424673584322,5.6607723438123935e-14,0.003528469540700185
323,0.019516556393657566,1.0078936124348896e-13,0.007294581308138868
324,0.019567604059932152,1.4497099904885398e-13,0.011195547061485329
325,0.01961856745233934,1.0078936124348896e-13,0.0007318567428884298
326,0.01966944635160566,1.0078936124348896e-13,0.01462556180152371
327,0.019720240538369287,1.0078936124348896e-13,0.0013343444804691925
328,0.01977094979401947,5.6607723438123935e-14,0.010042520998456365
329,0.019821573900122198,5.6607723438123935e-14,0.008408589879974173
330,0.019872112638596902,5.6607723438123935e-14,0.0024087790041357705
331,0.01992256579193738,1.0078936124348896e-13,0.014192634148774669
